id,totalStudentNumber,lesson_id,semester_id,teacher_id
1,3,1,1,1
2,30,2,2,2
3,59,3,3,1
4,32,4,2,3
5,1,5,1,1
6,42,6,4,4
7,41,7,5,5
8,219,8,6,1
9,105,9,7,6
10,36,10,8,1
11,35,11,9,7
12,119,12,10,1
13,99,13,11,8
14,35,14,12,9
15,1,15,4,1
16,107,16,5,10
17,2,17,13,1
18,105,18,14,1
19,21,19,15,1
20,80,20,16,11
21,1,21,17,1
22,30,22,18,12
23,180,23,6,1
24,1,24,19,1
25,47,25,4,13
26,34,26,20,1
27,27,27,21,1
28,40,28,19,1
29,28,29,5,14
30,23,30,12,15
31,3,31,5,1
32,36,32,22,1
33,44,33,15,1
34,2,34,18,16
35,42,35,2,17
36,130,36,9,18
37,57,37,17,1
38,56,38,5,19
39,26,39,4,20
40,2,40,12,21
41,24,19,10,1
42,35,41,4,22
43,279,42,14,1
44,44,43,1,23
45,14,44,3,1
46,56,45,12,24
47,112,46,3,1
48,31,47,16,25
49,224,48,9,26
50,29,49,1,27
51,25,50,17,1
52,107,51,15,1
53,18,52,19,1
54,56,53,23,1
55,60,54,5,28
56,53,55,19,1
57,55,56,24,1
58,55,57,1,29
59,70,58,7,30
60,10,59,23,1
61,36,60,2,31
62,83,61,25,1
63,187,62,15,1
64,36,63,2,32
65,20,64,13,1
66,81,65,18,1
67,25,66,4,33
68,35,67,7,34
69,25,68,9,35
70,2,69,4,1
71,178,70,10,1
72,39,71,26,1
73,48,72,27,1
74,18,73,19,1
75,31,74,10,1
76,76,75,28,1
77,180,76,5,36
78,1,77,4,1
79,13,78,15,1
80,55,79,19,1
81,144,80,29,1
82,26,81,22,1
83,1,82,5,37
84,173,83,16,38
85,24,84,27,39
86,16,85,10,1
87,11,86,6,1
88,23,87,29,1
89,93,88,11,40
90,90,89,16,41
91,27,90,12,42
92,28,91,2,43
93,72,92,12,44
94,176,93,20,1
95,1,94,16,1
96,25,95,8,1
97,26,96,12,45
98,50,97,21,1
99,16,98,3,1
100,108,99,4,46
101,24,100,11,47
102,27,101,16,48
103,129,102,11,49
104,138,103,29,1
105,97,104,18,1
106,32,105,14,1
107,44,106,5,50
108,294,107,19,1
109,22,108,28,1
110,89,109,17,1
111,26,110,2,12
112,28,111,11,51
113,26,112,11,52
114,31,113,4,53
115,73,114,29,1
116,24,115,30,1
117,96,116,16,54
118,27,117,12,55
119,18,118,4,56
120,42,119,29,1
121,23,120,7,57
122,8,121,9,58
123,36,122,9,59
124,1,123,1,1
125,26,124,2,60
126,38,125,4,61
127,1266,126,31,1
128,111,127,12,62
129,66,128,23,1
130,24,129,4,47
131,15,130,14,1
132,17,131,2,63
133,57,132,7,64
134,26,133,16,65
135,68,134,9,66
136,113,135,14,1
137,2,136,2,67
138,226,137,1,1
139,53,138,19,1
140,20,139,22,1
141,39,140,11,68
142,15,141,12,69
143,57,142,9,70
144,86,143,10,1
145,1,144,24,1
146,27,145,3,1
147,27,146,9,71
148,62,147,18,1
149,16,148,24,1
150,210,149,3,1
151,10,150,14,1
152,29,151,15,1
153,19,152,5,72
154,19,153,29,1
155,19,154,7,73
156,65,155,5,74
157,26,156,1,57
158,68,157,4,75
159,68,158,1,1
160,36,159,29,1
161,56,160,2,76
162,133,161,13,1
163,40,162,5,77
164,18,163,26,1
165,1,164,18,1
166,17,165,1,1
167,103,166,14,1
168,70,167,16,30
169,32,168,7,78
170,112,169,1,1
171,2,170,4,1
172,19,171,11,79
173,38,172,5,80
174,1,173,28,1
175,46,174,12,81
176,110,175,1,82
177,27,176,4,83
178,37,177,19,1
179,361,178,25,1
180,128,179,27,84
181,32,180,1,1
182,95,161,26,1
183,15,181,11,85
184,16,182,2,86
185,185,183,1,87
186,15,184,26,1
187,30,185,9,88
188,22,186,7,89
189,71,187,18,1
190,22,188,30,1
191,37,189,1,1
192,54,190,15,1
193,35,191,7,90
194,85,143,26,1
195,43,192,4,91
196,20,193,21,1
197,22,194,16,92
198,50,195,20,1
199,1,196,18,1
200,1,197,9,1
201,75,198,21,1
202,39,199,1,93
203,37,200,7,94
204,13,201,23,1
205,58,202,2,95
206,47,203,1,96
207,15,204,11,97
208,42,205,32,1
209,15,206,18,98
210,1234,207,30,1
211,61,208,4,16
212,8,209,9,99
213,8,210,18,100
214,1,211,25,1
215,35,212,27,1
216,54,213,4,101
217,5,214,7,102
218,57,215,19,1
219,8,216,9,103
220,16,217,9,104
221,7,218,22,1
222,98,219,30,1
223,41,220,12,105
224,8,141,4,69
225,25,221,30,1
226,62,222,9,106
227,20,223,12,39
228,53,224,12,107
229,18,225,11,108
230,55,226,17,1
231,91,227,27,1
232,74,228,9,109
233,48,229,11,110
234,41,230,27,111
235,37,231,18,1
236,63,232,16,112
237,32,233,22,1
238,1,234,27,1
239,15,235,26,1
240,110,236,27,113
241,13,237,7,114
242,32,238,8,1
243,62,239,11,101
244,1,240,16,1
245,48,241,18,1
246,187,242,21,1
247,94,243,7,115
248,6,244,16,1
249,13,245,30,1
250,75,246,28,1
251,2,247,2,1
252,2,248,1,1
253,27,249,2,116
254,27,250,30,1
255,89,251,7,117
256,97,252,9,118
257,3,253,1,1
258,27,254,12,119
259,25,255,11,120
260,15,256,8,1
261,23,257,28,1
262,39,258,16,121
263,46,193,25,1
264,37,259,2,122
265,362,260,14,1
266,1,261,3,1
267,17,262,20,1
268,82,263,20,1
269,240,264,33,1
270,37,119,14,1
271,7,265,13,1
272,26,266,9,56
273,2,267,25,1
274,31,268,9,123
275,53,269,29,1
276,38,270,25,1
277,45,5,34,1
278,56,271,21,1
279,57,272,18,124
280,73,273,14,1
281,48,274,32,1
282,60,275,18,125
283,160,276,22,1
284,1,277,9,1
285,59,278,18,126
286,1,279,17,1
287,35,280,9,127
288,1,281,35,1
289,47,106,16,53
290,75,282,21,1
291,118,283,1,128
292,14,284,32,1
293,40,285,9,129
294,301,286,29,1
295,54,96,11,130
296,4,287,2,131
297,20,288,15,1
298,1,289,11,1
299,113,290,16,132
300,83,291,22,1
301,103,292,18,65
302,16,293,22,1
303,72,294,32,1
304,116,295,12,133
305,24,296,12,134
306,33,297,16,135
307,6,298,11,136
308,3,299,16,137
309,53,300,2,138
310,102,301,4,139
311,75,302,12,140
312,47,303,1,1
313,132,304,14,1
314,13,305,11,141
315,41,291,30,1
316,1,306,2,1
317,56,307,7,142
318,1,308,21,1
319,132,309,32,1
320,12,310,11,143
321,30,311,7,144
322,76,312,19,1
323,23,313,4,145
324,51,314,9,146
325,18,315,28,1
326,13,316,11,147
327,64,317,6,1
328,2,318,25,1
329,33,319,28,1
330,92,320,25,1
331,609,321,28,1
332,23,322,27,1
333,28,39,7,20
334,1,323,31,1
335,38,324,34,1
336,276,325,3,1
337,132,326,18,1
338,172,36,2,148
339,77,327,24,1
340,57,328,12,149
341,44,329,4,150
342,84,330,5,62
343,20,331,16,151
344,41,332,2,95
345,11,333,9,21
346,106,334,20,1
347,26,335,1,1
348,31,336,25,1
349,24,337,4,57
350,1551,338,14,1
351,15,339,7,152
352,3,340,23,1
353,1,341,2,1
354,19,342,5,1
355,73,343,9,153
356,57,344,6,1
357,17,345,11,154
358,14,346,26,1
359,16,347,32,1
360,140,348,9,155
361,37,349,11,156
362,61,350,27,157
363,34,351,18,1
364,16,352,32,1
365,15,353,9,158
366,19,354,28,1
367,113,355,18,84
368,101,356,3,1
369,14,357,9,159
370,46,358,9,160
371,1896,359,19,1
372,25,360,28,1
373,1,361,14,1
374,4,362,11,161
375,35,363,9,162
376,72,364,4,163
377,24,365,4,5
378,9,366,11,164
379,17,367,27,1
380,22,368,28,1
381,41,369,20,1
382,123,370,32,1
383,13,371,14,1
384,43,372,4,165
385,5,373,6,1
386,91,374,25,1
387,20,375,8,1
388,18,376,25,1
389,34,377,32,1
390,9,378,2,166
391,1,379,16,1
392,58,380,16,167
393,10,381,11,168
394,299,382,32,1
395,179,383,27,1
396,61,384,3,1
397,260,385,19,1
398,26,386,21,1
399,1,387,12,1
400,8,388,12,169
401,40,389,5,145
402,70,390,1,170
403,87,391,18,1
404,99,392,1,1
405,106,393,20,1
406,23,394,9,171
407,71,395,32,1
408,126,12,8,1
409,29,396,7,172
410,1,397,5,1
411,20,398,15,1
412,64,147,1,1
413,1,399,7,1
414,7,400,24,1
415,25,401,7,173
416,1,402,11,1
417,27,403,15,1
418,198,404,8,1
419,69,405,30,1
420,34,406,9,174
421,7,407,2,1
422,9,408,14,1
423,56,409,27,1
424,48,410,3,1
425,51,411,27,1
426,45,412,9,142
427,12,413,9,5
428,1,414,1,1
429,173,23,17,1
430,164,415,24,1
431,17,416,5,175
432,24,417,21,1
433,33,418,4,176
434,5,419,11,177
435,32,420,24,1
436,62,421,9,178
437,1,422,16,1
438,23,423,1,179
439,40,424,18,180
440,72,425,30,1
441,22,426,33,1
442,107,187,1,1
443,16,427,20,1
444,84,428,25,1
445,16,429,22,1
446,25,430,2,1
447,22,90,11,42
448,106,431,9,181
449,98,432,22,1
450,13,433,4,182
451,51,434,24,1
452,17,435,5,183
453,37,436,22,1
454,2,437,12,1
455,138,438,13,1
456,32,439,24,1
457,77,440,13,1
458,17,441,30,1
459,92,442,21,1
460,35,443,14,1
461,54,444,27,184
462,36,445,23,1
463,40,446,18,20
464,224,48,2,26
465,164,447,27,185
466,86,448,2,186
467,81,449,22,1
468,12,53,8,1
469,18,450,16,187
470,407,451,29,1
471,1,452,16,1
472,2,289,12,1
473,16,453,29,1
474,42,55,28,1
475,44,454,30,1
476,5,455,12,188
477,47,456,19,1
478,51,328,11,149
479,199,457,29,1
480,16,458,32,1
481,89,459,1,189
482,75,291,8,1
483,122,460,27,1
484,165,76,16,190
485,1,461,11,1
486,20,462,18,191
487,24,463,5,192
488,41,464,5,47
489,1,69,7,1
490,12,465,21,1
491,107,466,13,1
492,23,467,18,1
493,13,468,29,1
494,1,469,25,1
495,46,470,5,193
496,13,471,21,1
497,45,91,9,50
498,90,472,1,194
499,6,473,5,195
500,32,474,34,1
501,148,102,12,49
502,64,475,5,196
503,109,143,22,1
504,36,271,22,1
505,1,476,5,1
506,188,477,5,197
507,60,478,13,1
508,24,100,12,47
509,43,479,25,1
510,17,159,14,1
511,63,480,26,1
512,46,481,34,1
513,18,482,27,1
514,95,483,9,198
515,23,120,4,57
516,36,484,25,1
517,24,118,7,56
518,41,485,5,199
519,1,486,19,1
520,24,487,16,200
521,47,488,13,1
522,29,489,16,201
523,31,117,11,202
524,29,124,9,60
525,77,75,19,1
526,25,237,2,114
527,94,490,4,203
528,25,491,27,1
529,30,492,1,204
530,14,493,5,40
531,128,494,27,1
532,27,129,7,47
533,37,495,21,1
534,76,496,19,1
535,68,497,16,205
536,40,180,18,206
537,122,498,25,1
538,197,127,1,1
539,1,499,4,1
540,24,500,9,207
541,66,501,28,1
542,34,138,28,1
543,1,502,2,1
544,71,503,29,1
545,118,504,32,1
546,1,505,1,1
547,55,506,12,208
548,31,507,27,1
549,47,508,12,138
550,42,509,15,1
551,16,510,29,1
552,1,511,2,1
553,13,512,11,209
554,1,109,6,1
555,6,513,11,166
556,96,514,16,210
557,22,515,14,1
558,162,516,23,1
559,55,517,1,22
560,50,518,1,211
561,55,519,20,1
562,82,520,25,1
563,60,521,12,212
564,31,522,18,114
565,98,523,4,190
566,24,524,9,213
567,96,525,24,1
568,49,526,4,26
569,46,162,16,214
570,23,527,12,215
571,7,528,13,1
572,108,529,1,1
573,62,530,4,216
574,71,531,4,217
575,28,532,30,1
576,58,533,3,1
577,58,534,4,169
578,19,535,1,218
579,15,536,20,1
580,58,537,5,124
581,30,538,22,1
582,265,539,13,1
583,62,126,33,1
584,7,540,19,1
585,146,541,21,1
586,8,542,9,219
587,28,543,9,220
588,1,544,9,1
589,114,545,28,1
590,18,546,11,221
591,126,547,32,1
592,25,548,4,222
593,34,549,5,223
594,28,550,19,1
595,381,551,29,1
596,10,552,1,1
597,3,553,2,1
598,18,554,1,224
599,48,555,9,225
600,40,556,18,226
601,66,557,23,1
602,18,558,22,1
603,332,559,24,1
604,216,560,23,1
605,82,561,11,1
606,24,562,12,227
607,128,563,9,228
608,28,564,2,229
609,1,565,1,1
610,161,566,19,1
611,22,567,16,230
612,2,568,5,1
613,1,569,27,1
614,60,570,18,14
615,21,571,10,1
616,34,572,4,78
617,32,573,30,1
618,100,202,9,95
619,207,574,29,1
620,107,575,24,1
621,222,576,11,231
622,7,577,22,1
