id,creditPoint,lessonCode,lessonName
1,3.0,370.044.1,发育生物学B
2,3.0,PHAR130002.01,仪器分析
3,1.0,345.016.1,生产实习
4,2.0,ENGL110026.03,大学英语应用文写作
5,1.0,330.027.1,生产实习
6,3.0,MANA130010.01,随机运筹学
7,1.0,PEDU110008.04,篮球(二)(女)
8,3.0,269.003.1,统计学
9,2.0,PHIL119018.01,《逻辑哲学论》导读
10,2.0,314.099.1,中国古建筑与园林
11,1.0,PEDU110047.01,陈式简化太极拳
12,1.5,270.008.1,细胞生物学实验
13,2.0,FINE110015.02,中西美术
14,5.0,MATH130002.01,高等代数II
15,3.0,ECON130063,国际营销学
16,3.0,INFO110004.10,VB程序设计
17,2.0,312.136.1,韩语语法学上
18,2.0,358.056.1,化学分析
19,4.5,318.037.1,矩阵计算
20,2.0,PHYS120004.02,普通物理实验
21,1.5,419.007.1,普通物理实验A2(上)
22,1.0,PEDU110010.08,排球(二)(男)
23,2.0,104.002.1,书法与篆刻
24,2.0,327.053.1,票据法
25,3.0,ECON130149.01,公共管理学
26,2.0,601.001.1,科技与宗教
27,2.0,145.003.1,环境与可持续发展
28,3.0,344.003.1,高分子物理
29,1.5,BIOL130002.01,植物学实验
30,2.0,ENGL110009.01,英美文化概论
31,2.0,FORE130050,德语文学史及作品选读(上)
32,2.0,333.021.1,企业管理专题讨论
33,2.0,311.039.1,西方美学史
34,2.0,334.035.1.01,城市社会学
35,3.0,ECON130027.03,跨国公司与直接投资
36,3.0,BIOL120001.03,现代生物科学导论
37,2.0,0117.1.1,老庄研究
38,2.0,JOUR130021.01,电视新闻采访
39,1.0,PEDU110102.04,足球
40,5.0,MATH130091.02,数学分析原理
41,4.0,COMP130004.03,数据结构
42,5.0,269.040.1,数学分析（上）
43,3.0,MANA120003.10,会计学
44,3.0,318.034.1,计算机图形学A
45,1.0,COMP110001.13,计算机高级办公自动化
46,2.0,321.048.1,传感器原理及应用
47,1.0,PEDU110033.09,木兰拳
48,2.0,CHEM119008.01,化学与人类
49,1.0,PEDU110039.03,艺术体操(一)(女)
50,3.0,213.010.1,报纸编辑
51,3.0,321.004.1,电路理论
52,1.0,358.070.1,多媒体演示制作技巧
53,2.0,685.001.1,大学生健康教育
54,2.0,PHAR130008.01,生物制药技术
55,2.0,111.028.1,当代文学鉴赏
56,2.0,134.003.1,社会心理学B
57,2.0,313.142.1.01,纪录片
58,4.0,MATH120006.01,高等数学C(下）
59,1.5,1130.1.2,分析化学实验A(下)
60,2.0,ENGL110018.01,《法语》(上)
61,3.0,372.113.2,近代无线电实验(下)
62,5.0,224.003.1,程序设计
63,2.0,ENGL110016.04,中级英语听力
64,3.0,324.113.1,计算理论基础
65,3.0,INFO130009.01,信号与通信系统
66,2.0,ECON130146.01,中国货币政策
67,1.0,COMP130001.03,程序设计实习
68,1.0,PEDU110102.20,足球
69,3.0,INFO130034,数字信号处理B
70,2.0,268.001.1,英语听力(一)
71,2.0,604.005.1,歌唱艺术的基础原理及技法
72,6.0,350.030.1.01,教学实习
73,1.0,322.901.1,今日化学
74,3.0,325.024.1,信息系统分析与设计
75,2.0,327.051.1,自然资源和环境保护法
76,2.0,PTSS110053.04,思想道德修养与法律基础
77,3.0,MANA130023,多元分析
78,2.0,212.047.1,俄语写作(上)
79,2.0,214.031.1,近代中国社会研究
80,1.0,372.074.1,计算机体系结构实验
81,2.0,604.023.1,京剧艺术欣赏与唱腔实践
82,2.0,ENVI110003.01,环境工程学实验B
83,3.0,MATH120010.01,解析几何
84,2.0,339.044.2.01,构成艺术(二)
85,2.0,312.092.1,韩语报刊选读
86,2.0,313.024.1,公共关系学
87,2.0,314.018.1,中国经学史
88,2.0,FORE120008.01,英美文学通论
89,3.0,MANA130002.03,程序设计I
90,1.0,PEDU110107.13,健美操
91,4.0,ENGL110017.04,高级英语
92,2.0,FORE130199.01,英美散文(上)
93,2.0,265.003.1,中国近代史
94,2.0,HIST130003,社科文献学
95,2.0,614.008.1,战后苏联东欧
96,3.0,MATH120044.03,线性代数
97,3.0,313.014.1,电视摄像
98,2.0,312.063.1,法语报刊选读上
99,2.0,HIST119003.01,文艺复兴史
100,1.0,PEDU110088.18,篮球
101,3.0,330.008.1.01,薄膜技术
102,2.0,PTSS119002.01,生命科学史
103,3.0,372.047.1,概率、数理统计与随机过程
104,6.0,319.141.1.01,毕业论文
105,2.0,340.032.1,项目评估
106,4.0,ENGL110003.20,大学英语III
107,4.0,222.118.1,有机化学
108,1.0,158.010.1,食品化学
109,3.0,219.005.1,原子物理学
110,1.0,PEDU110078.10,排球
111,2.0,ENGL110042.02,英语笔译
112,3.0,SOCI130117.01,心理实验设计与研究方法
113,2.0,ENGL110044.06,大学英语II
114,3.0,325.004.1,管理系统模拟
115,2.0,311.063.1,训诂学
116,3.0,INFO110001.02,计算机网络与多媒体
117,4.0,ENGL110003.36,大学英语III
118,1.0,PEDU110100.01,综合体育
119,2.0,169.011.1,财务会计导论
120,1.0,PEDU110078.19,排球
121,2.0,MANA120008.05,市场营销导论
122,2.0,ENGL110014.03,英语中级口语
123,2.0,312.010.2,英美散文(下)
124,1.0,PEDU110088.14,篮球
125,2.0,ENGL110043.02,英语口译
126,3.0,0001.1.1,中国革命史
127,3.0,ECON120001.03,政治经济学
128,4.0,315.028.1,经济系实习调查
129,1.0,PEDU110088.29,篮球
130,2.0,319.103.1,铁磁学
131,3.0,MATE130044.01,有机化学与聚合物引论
132,2.0,PHAR130012.01,药用植物学I
133,2.0,POLI110026.02,国际经营概论
134,3.5,MED130002.07,系统解剖学B
135,2.0,322.103.1,化学信息学
136,3.0,INFO130152.01,计算理论基础
137,2.0,HIST120003.02,国史概要
138,2.0,313.031.1,中华人民共和国新闻事业史
139,1.0,334.030.2,社会调查与实习(社会学)
140,3.0,INFO130230.01,TCP/IP组网基础及应用
141,2.0,MECH130037.01,流体力学专题
142,2.0,MED130008.02,医学遗传学A
143,2.0,604.006.1,西方经典音乐
144,2.0,317.031.1,人事行政学
145,3.0,332.055.1,统计计算
146,2.0,PHIL130053.01,《资本论》手稿历史观研究
147,2.0,ENGL110008.01,英汉翻译实践
148,2.0,312.062.4,法国文学史四
149,3.0,213.011.1,马列新闻论著选读
150,2.0,212.080.1,俄语泛读(上)
151,2.0,322.023.1,化学反应工程
152,4.0,FORE130002.01,基础英语(下)
153,3.0,327.018.1,国际经济合同
154,2.0,PHPM130047.01,卫生管理研究设计
155,1.0,NDEC110002.08,军事理论
156,1.0,PEDU110009.11,排球(一)(男)
157,3.0,ECON120003.02,宏观经济学A
158,3.0,318.093.1.01,计算方法
159,2.0,317.131.1,中国古典政治著作选读
160,2.0,JOUR130033.01,纪录片理论与实践
161,3.0,340.019.1,保险学原理
162,2.0,ECON110017.01,证券投资与技术分析
163,2.0,311.031.1,中文工具书的使用
164,3.5,356.104.1,组织胚胎学
165,1.0,313.172.1.01,收视率分析
166,3.0,219.104.1,近代物理实验A
167,4.0,MATH120005.01,高等数学C（上）
168,3.0,COMP130010.03,数据库引论
169,2.0,ECON120007.01,国际金融与贸易
170,3.0,MANA130104,期权与期货
171,4.0,ENGL110001.01,大学英语I
172,5.0,MATH120011.09,高等代数Ⅰ
173,4.5,356.011.1,儿科学
174,3.0,PTSS110057.06,毛泽东思想中国特色理论概论
175,2.0,JOUR130001.02,新闻学概论
176,3.0,MATH130055.01,非寿险精算数学
177,3.0,341.033.1,中国金融市场
178,3.5,356.005.2,内科学(下)
179,3.0,268.023.1.02,国际贸易
180,4.0,ENGL110003.41,大学英语III
