id,name
1,2006~2007学年第1学期
2,2008~2009学年第2学期
3,2002~2003学年第1学期
4,2010~2011学年第1学期
5,2007~2008学年第2学期
6,1995~1996学年第1学期
7,2010~2011学年第2学期
8,1996~1997学年第1学期
9,2008~2009学年第1学期
10,1997~1998学年第1学期
11,2009~2010学年第2学期
12,2009~2010学年第1学期
13,2002~2003学年第2学期
14,2004~2005学年第1学期
15,1998~1999学年第1学期
16,2007~2008学年第1学期
17,1995~1996学年第2学期
18,2006~2007学年第2学期
19,2003~2004学年第1学期
20,1998~1999学年第2学期
21,2001~2002学年第2学期
22,1997~1998学年第2学期
23,1996~1997学年第2学期
24,2000~2001学年第2学期
25,2005~2006学年第1学期
26,1999~2000学年第1学期
27,2005~2006学年第2学期
28,2003~2004学年第2学期
29,2004~2005学年第2学期
30,1999~2000学年第2学期
31,1994~1995学年第1学期
32,2001~2002学年第1学期
33,1994~1995学年第2学期
34,2000~2001学年第1学期
35,2010暑期
36,2009暑期
37,2008暑期
38,2006年暑期
39,2007暑期
40,2011~2012学年第2学期
41,2004年暑期
